***
Some things have gotten removed such as:
- tatsuro yamashita - ride on time, etc.
- some dreamcatcher b sides - some kind of licensincg rereleas of music, will have to add songs back to playlist

so I will also keep old version of playlist
***

986  Items In Playlist
Bruno Mars - Finesse (Remix) (feat. Cardi B) (Official Music Video) :  Bruno Mars
Bruno Mars &amp; Anderson .Paak as Silk Sonic - Fly As Me (LIVE BET Soul Train Awards 2021) :  Bruno Mars
Lucky Chops - Halfway to the Hudson (Studio Video) :  Lucky Chops
Soytiet - 41 [Official Music Video] :  Retro Messiah
Falling In Love With Love / CLIFFORD BROWN MEMORIAL :  MINICQQPER
Grubhub Sound Bites: Anderson .Paak + The Free Nationals :  Anderson Paak
Come On Eileen :  Dexys and Dexys Midnight Runners Official
Four :  Jazzman 2696
Night Lights :  Gerry Mulligan - Topic
Freeway :  Gerry Mulligan - Topic
Darn That Dream :  Gerry Mulligan - Topic
Just the Two of Us (feat. Bill Withers) :  Grover Washington, Jr. - Topic
I Think I Like When It Rains :  WILLIS
Portside Sound Session: WILLIS - &quot;27 Reasons&quot; :  Portside Sound Studios
Manteca - Dizzy Gillespie :  Louis Rodrigues
Santo &amp; Johnny &quot;Sleep Walk&quot; :  NRRArchives
Something About You :  Boston
More Than a Feeling :  Boston
Blue Mitchel - I'll close my eyes :  iichiroiichiro
The Bass Walk: Abraham Laboriel :  Boyd Matson
Incredible Victor Wooten solo bass jam :  MusicRadar
It's A Love Thing - The Whispers :  maumau1968
City of Stars - Laufey (La La Land cover) :  Laufey
Everybody Wants to Rule the World | Tears for Fears | funk cover ft. Cory Henry :  Scary Pockets
Wireless led  | How to make wireless led at home :  Room Engineer
Dave Brubeck - Koto Song :  Tori Chitic
Buena Vista Social Club - Chan Chan (Official HD Video) :  World Circuit Records
Lucky Chops - Traveler II: The Path (Studio Video) :  Lucky Chops
Lucky Chops - Full Heart Fancy (Ft. Grace Kelly, Sunny Jain, Jesse Chevan and Raphael Buyo) :  Lucky Chops
Funk No.1 - TOKYO GROOVE JYOSHI :  Juna Serita
Oscar Peterson - Hymn To Freedom :  dgbailey777
KAMAUU - MANGO (feat. Adi Oasis) [Official Music Video] :  KAMAUU
Driving to the banana store :  Clayton Collins
Memoirs of a Geisha | John Williams and Yo-Yo Ma | Live :  Dan Priest
Memoirs of a Geisha - Sayuri's Theme FULL :  MsTiger16
Morrowind Theme Song :  trooperV101
Earl Grant - The End (1958) :  CatsPjamas1
miki matsubara-stay With Me :  Epic Music
Michael Jackson - Rock With You (Official Video) :  Michael Jackson
Laufey - Everything I Know About Love (Acoustic) :  Laufey
Misty :  Nat King Cole
[LIVE] Just the Two of Us - Jazz Music Korea :  Jazz Music Korea
The Whispers - And The Beat Goes On (1979) :  Andre Brown
The Whispers - Rock Steady (Official Music Video) :  UnidiscMusic
Love To Hate Me :  BLACKPINK
Pretty Savage :  BLACKPINK
TWICE &quot;FANCY&quot; M/V :  JYP Entertainment
TWICE DAHYUN &quot;PROMISE (TWICE)&quot; Vocal &amp; Piano Cover :  TWICE
Running in Real Time :  Passport - Topic
The Chainsmokers - iPad (Guitar cover) :  Gyoshi
Yubin &quot;숙녀 (淑女)&quot; M/V :  JYP Entertainment
“나로 바꾸자 Switch to me” by DAHYUN and CHAEYOUNG – Melody Project :  TWICE
